name,google scholar link
A Min Tjoa,https://scholar.google.com/citations?user=x8qCMhcAAAAJ&hl=en&oi=ao
A. Akbari Azirani,https://scholar.google.com/citations?user=pCil4_cAAAAJ&hl=en&oi=ao
A. Akbariazirani,https://scholar.google.com/citations?user=pCil4_cAAAAJ&hl=en&oi=ao
A. Aldo Faisal,https://scholar.google.com/citations?user=WjHjbrwAAAAJ&hl=en&oi=ao
A. Antony Franklin,https://scholar.google.com/citations?user=LVfqLuoAAAAJ&hl=en&oi=ao
A. B. M. Alim Al Islam,https://scholar.google.com/citations?user=K-AIPzQAAAAJ&hl=en&oi=ao
A. B. Siddique 0001,https://scholar.google.com/citations?user=pVnchfsAAAAJ&hl=en&oi=ao
A. B. van der Merwe,https://scholar.google.com/citations?user=TKlHqnMAAAAJ&hl=en&oi=ao
A. Baskar,https://scholar.google.com/citations?user=mNpOTuEAAAAJ&hl=en&oi=ao
A. C. Cem Say,https://scholar.google.com/citations?user=rOum2XsAAAAJ&hl=en&oi=ao
A. C. W. Finkelstein,https://scholar.google.com/citations?user=n8xuCVkAAAAJ&hl=en&oi=ao
A. Cüneyd Tantug,https://scholar.google.com/citations?user=TTawdWMAAAAJ&hl=en&oi=ao
A. D. Fekete,https://scholar.google.com/citations?user=Hs9cVRgAAAAJ&hl=en&oi=ao
A. David Marshall,https://scholar.google.com/citations?user=7HJzGQYAAAAJ&hl=en&oi=ao
A. E. Eiben,https://scholar.google.com/citations?user=NMuDAe0AAAAJ&hl=en&oi=ao
A. Ercüment Çiçek,https://scholar.google.com/citations?user=n25sJzkAAAAJ&hl=en&oi=ao
A. I. Ovchinnikov,https://scholar.google.com/citations?user=JmOotdkAAAAJ&hl=en&oi=ao
A. J. Field,https://scholar.google.com/citations?user=rn3Lg2wAAAAJ&hl=en&oi=ao
A. J. H. Hidders,https://scholar.google.com/citations?user=EHD4dXkAAAAJ&hl=en&oi=ao
A. J. Jansen,https://scholar.google.com/citations?user=qHiBTg0AAAAJ&hl=en&oi=ao
A. J. Kfoury,https://scholar.google.com/citations?user=VpdYemsAAAAJ&hl=en&oi=ao
A. J. Ko 0001,https://scholar.google.com/citations?user=otmdDLoAAAAJ&hl=en&oi=ao
A. Jefferson Offutt,https://scholar.google.com/citations?user=fAeRp3kAAAAJ&hl=en&oi=ao
A. John Power,https://scholar.google.com/citations?user=mCvZPDn8heUC&hl=en&oi=ao
A. K. McIver,https://scholar.google.com/citations?user=9fvUO9QAAAAJ&hl=en&oi=ao
A. Min Tjoa,https://scholar.google.com/citations?user=x8qCMhcAAAAJ&hl=en&oi=ao
A. Murat Ozbayoglu,https://scholar.google.com/citations?user=rNLLqKoAAAAJ&hl=en&oi=ao
A. Murat Özbayoglu,https://scholar.google.com/citations?user=rNLLqKoAAAAJ&hl=en&oi=ao
A. P. Sarath Chandar,https://scholar.google.com/citations?user=yxWtZLAAAAAJ&hl=en&oi=ao
A. Pavan 0001,https://scholar.google.com/citations?user=4QIV0FUAAAAJ&hl=en&oi=ao
A. Rupam Mahmood,https://scholar.google.com/citations?user=YwB8XM4AAAAJ&hl=en&oi=ao
A. S. M. Hoque,https://scholar.google.com/citations?user=3-Sb7tMAAAAJ&hl=en&oi=ao
A. S. M. Latiful Hoque,https://scholar.google.com/citations?user=3-Sb7tMAAAAJ&hl=en&oi=ao
A. S. Madhukumar,https://scholar.google.com/citations?user=mF-F-zkAAAAJ&hl=en&oi=ao
A. S. Nemirovskii 0001,https://scholar.google.com/citations?user=3QxoymwAAAAJ&hl=en&oi=ao
A. Selcuk Uluagac,https://scholar.google.com/citations?user=tcK62uAAAAAJ&hl=en&oi=ao
A. Sima Etaner-Uyar,https://scholar.google.com/citations?user=qvxemZwAAAAJ&hl=en&oi=ao
A. Taylan Cemgil,https://scholar.google.com/citations?user=X3ZFZ7AAAAAJ&hl=en&oi=ao
A. Th. Schreiber,https://scholar.google.com/citations?user=lRZKdMYAAAAJ&hl=en&oi=ao
A. V. Sreejith,https://scholar.google.com/citations?user=6LVNqAMAAAAJ&hl=en&oi=ao
A. V. Subramanyam,https://scholar.google.com/citations?user=B0Hy8NkAAAAJ&hl=en&oi=ao
