Paper Name, Citations, Publication Date
Exploring traditional and emerging parallel programming models using a proxy application, 182, 2013-05-20 00:00:00

There goes the neighborhood: performance degradation due to nearby jobs, 165, 2013-11-17 00:00:00

Lulesh programming model and performance ports overview, 104, 2012-12-13 00:00:00

Dynamic topology aware load balancing algorithms for molecular dynamics applications, 99, 2009-06-08 00:00:00

State of the Art of Performance Visualization., 96, None

Scalable molecular dynamics with NAMD on the IBM Blue Gene/L system, 95, None

Overcoming scaling challenges in biomolecular simulations across multiple platforms, 94, 2008-04-14 00:00:00

Periodic hierarchical load balancing for large supercomputers, 80, 2011-11-01 00:00:00

Avoiding hot-spots on two-level direct networks, 70, 2011-11-12 00:00:00

Hierarchical load balancing for charm++ applications on large supercomputers, 70, 2010-09-13 00:00:00

Visualizing network traffic to understand the performance of massively parallel simulations, 61, 2012-12-01 00:00:00

Maximizing throughput on a dragonfly network, 60, 2014-11-16 00:00:00

Automated mapping of regular communication graphs on mesh interconnects, 60, 2010-12-01 00:00:00

Evaluating HPC networks via simulation of parallel workloads, 57, 2016-11-13 00:00:00

Mapping applications with collectives over sub-communicators on torus networks, 57, 2012-11-10 00:00:00

Improving communication performance in dense linear algebra via topology aware collectives, 56, 2011-11-12 00:00:00

Combing the communication hairball: Visualizing parallel execution traces using logical time, 54, 2014-12-01 00:00:00

Fine-grained parallelization of the Car-Parrinello ab initio molecular dynamics method on the IBM Blue Gene/L supercomputer, 45, None

Analyzing network health and congestion in dragonfly-based supercomputers, 43, 2016-05-01 00:00:00

Parallel Science and Engineering Applications: The Charm++ Approach, 31, 2013-10-28 00:00:00

DONE
