Paper Name, Citations, Publication Date
Incipient ferroelectricity in Al‐doped HfO2 thin films, 602, 2012-06-06 00:00:00

Ferroelectricity in Gd-doped HfO2 thin films, 209, None

Co-sputtering yttrium into hafnium oxide thin films to produce ferroelectric properties, 138, 2012-08-22 00:00:00

Thickness dependent barrier performance of permeation barriers made from atomic layer deposited alumina for organic devices, 73, 2015-02-01 00:00:00

Development of high strength and strongly cube textured Ni-4.5% W/Ni-15% Cr composite substrate for coated conductor application, 53, 2003-09-15 00:00:00

Understanding Host-Pathogen Interactions with Expression Profiling of NILs Carrying Rice-Blast Resistance Pi9 Gene, 50, 2017-02-23 00:00:00

Mechanism of coercivity in epitaxial  thin films, 49, 2008-03-28 00:00:00

Breakdown and protection of ALD moisture barrier thin films, 44, 2015-09-30 00:00:00

Characterization and radiative impact of dust aerosols over northwestern part of India: a case study during a severe dust storm, 37, 2016-03-05 00:00:00

Adsorptive capacity of sawdust for the adsorption of MB dye and designing of two-stage batch adsorber, 37, 2015-08-17 00:00:00

Growth of epitaxial SmCo5 films on Cr∕ MgO (100), 36, 2005-08-09 00:00:00

Development and Genetic Characterization of A Novel Herbicide (Imazethapyr) Tolerant Mutant in Rice (Oryza sativa L.), 33, 2017-04-04 00:00:00

Functional characterization of the Aspergillus nidulans glucosylceramide pathway reveals that LCB Δ8‐desaturation and C9‐methylation are relevant to filamentous growth …, 33, 2016-08-01 00:00:00

Nanotechnology and its role in agro-ecosystem: a strategic perspective, 30, 2017-10-01 00:00:00

Epitaxial growth of highly coercive Sm–Co thin films using pulsed laser deposition, 27, 2005-04-18 00:00:00

Prolonging storability of Indian gooseberry (Emblica officinalis) under semi-arid ecosystem of Gujarat, 25, 2005-10-05 00:00:00

Genetic variability studies for morphological and yield traits in Dolichos bean (Lablab purpureus L.), 22, None

Effect of pinching and growth retardants on flowering and yield of African marigold (Tagetes erecta L.) var. Pusa Narangi Gainda, 22, 2012-11-08 00:00:00

Intrathecal buprenorphine versus fentanyl as adjuvant to 0.75% ropivacaine in lower limb surgeries, 13, 2016-04-01 00:00:00

Genetic variability, heritability and correlation coefficients of yield and its component traits in basmati rice (Oryza sativa L.)., -1, 

DONE
